"Date","Time","Media","Type","Caption"
"2026-08-01","19:00","png/crest-01-teaser.png","Post","Sta arrivando qualcosa di nuovo sul Titano. 🏔️ Crest è il primo wallet digitale costruito per la Repubblica di San Marino. Iscriviti alla lista d'attesa — link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-02","12:30","png/crest-36-story-domanda.png","Story","Storia: sondaggio Sì/No + link crestpay.app"
"2026-08-03","19:00","png/crest-03-no-si.png","Post","Revolut, Wise e N26 non aprono conti a San Marino. Crest sì. 🇸🇲 Lista d'attesa aperta — link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-04","12:30","png/crest-37-story-carta2.png","Story","Storia: carta Crest + sticker Link + Countdown"
"2026-08-05","19:00","png/crest-04-iban.png","Post","Un IBAN vero, tuo, sammarinese. Per stipendio, utenze e pagamenti — pronto in pochi minuti dal telefono. Iscriviti → link in bio. 🏔️

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-06","12:30","png/crest-43-story-invita.png","Story","Storia: invita e salta la fila (+10) + sticker Link"
"2026-08-07","19:00","png/crest-02-manifesto.png","Post","Il tuo denaro non conosce confini. Con Crest, nemmeno il tuo conto. Un conto moderno, fatto per San Marino.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-08","12:30","png/crest-44-story-2026.png","Story","Storia: countdown 2026 + sticker Link"
"2026-08-09","19:00","png/crest-05-carta.png","Post","Virtuale all'istante, fisica in metallo al lancio. Blocca, sblocca e imposta i limiti in un tocco. Lista d'attesa → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-10","12:30","png/crest-45-story-sondaggio.png","Story","Storia: sondaggio 'Hai un conto che funziona a SM?' + Link"
"2026-08-11","19:00","png/crest-08-stats.png","Post","34.000 residenti. 9 castelli. 1 conto digitale finalmente pensato per loro. 🏔️ Iscriviti → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-13","19:00","png/crest-06-istantanei.png","Post","Trasferimenti istantanei tra utenti Crest. Il denaro si muove alla velocità di un messaggio. Iscriviti → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-15","19:00","png/crest-11-confronto.png","Post","Crest vs il resto: l'unico costruito per chi vive a San Marino. Scopri la differenza → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-17","19:00","png/crest-09-waitlist.png","Post","Le prime carte vanno a chi c'è dall'inizio. Iscriviti alla lista d'attesa in 10 secondi — link in bio. 🏔️

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-19","19:00","png/crest-22-en-teaser.png","Post","Something new is coming to the Titano. 🏔️ Crest is the first digital wallet built for the Republic of San Marino. Join the waitlist — link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-21","19:00","png/crest-07-commissioni.png","Post","Zero costi nascosti. Sai sempre quanto paghi — perché la trasparenza non è un extra. Iscriviti → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-23","19:00","png/crest-10-repubblica.png","Post","Fatto sul Monte Titano, per la Repubblica. Crest è finanza moderna con radici sammarinesi. 🏔️

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-25","19:00","png/crest-33-sicurezza.png","Post","Il tuo conto al sicuro. 🔐 2FA, blocco carta istantaneo, notifiche in tempo reale. Lista d'attesa → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-27","19:00","png/crest-34-apertura.png","Post","Aprire un conto non dovrebbe essere un lavoro. Con Crest: iscriviti, KYC dal telefono, IBAN e carta attivi. ✅ Link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-29","19:00","png/crest-35-34k.png","Post","34k residenti. Zero wallet che li servono. Fino ad oggi. 🏔️ Iscriviti alla lista → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-08-31","19:00","png/crest-38-controllo.png","Post","Il tuo conto sta nel telefono. 📱 Notifica a ogni movimento, blocco carta in un tocco, limiti di spesa. Lista d'attesa → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-09-02","19:00","png/crest-39-stipendio.png","Post","Lo stipendio arriva. Tu comandi. 💪 Un IBAN sammarinese vero per stipendio, utenze e addebiti. Iscriviti → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-09-04","19:00","png/crest-40-quote.png","Post","«Finalmente un conto che non mi dice di no.» Costruito per chi vive e lavora a San Marino. Lista d'attesa → link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-09-06","19:00","png/crest-41-primi.png","Post","Le prime carte in metallo vanno a chi c'è dall'inizio. 🥇 Invita un amico e salta la fila: +10 posizioni per ogni amico. Link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-09-08","19:00","png/crest-42-missione.png","Post","Costruito qui. Per chi vive qui. 🏔️ Crest nasce sul Titano, per i sammarinesi — non adattato da altrove. Link in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-09-10","19:00","png/crest-24-en-no-yes.png","Post","Revolut, Wise and N26 won't open accounts in San Marino. We will. 🇸🇲 Waitlist in bio.

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
"2026-09-12","19:00","png/crest-25-en-diaspora.png","Post","Sammarinese abroad? Keep San Marino in your pocket. IBAN, card and instant transfers. Join the waitlist 👇

#Crest #SanMarino #RepubblicaDiSanMarino #fintech #wallet #IBAN #LaTuaBancaDigitale #Titano"
